date,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,,,,,
16/07/2020,16,7,2020,534,18,France,FR,FRA,67320216,Europe,,,,,
30/06/2020,30,6,2020,541,30,France,FR,FRA,67320216,Europe,,,,,
10/6/2020,10,6,2020,545,23,France,FR,FRA,67320216,Europe,,,,,
3/8/2020,3,8,2020,556,22,France,FR,FRA,67320216,Europe,,,,,
15/05/2020,15,5,2020,563,104,France,FR,FRA,67320216,Europe,,,,,
4/5/2020,4,5,2020,576,306,France,FR,FRA,67320216,Europe,,,,,
6/6/2020,6,6,2020,579,31,France,FR,FRA,67320216,Europe,,,,,
3/7/2020,3,7,2020,582,18,France,FR,FRA,67320216,Europe,,,,,
21/07/2020,21,7,2020,584,-12,France,FR,FRA,67320216,Europe,,,,,
12/7/2020,12,7,2020,585,1,France,FR,FRA,67320216,Europe,,,,,
12/3/2020,12,3,2020,595,0,France,FR,FRA,67320216,Europe,,,,,
29/05/2020,29,5,2020,597,52,France,FR,FRA,67320216,Europe,,,,,
1/5/2020,1,5,2020,604,212,France,FR,FRA,67320216,Europe,,,,,
5/6/2020,5,6,2020,611,46,France,FR,FRA,67320216,Europe,,,,,
9/7/2020,9,7,2020,621,14,France,FR,FRA,67320216,Europe,,,,,
14/05/2020,14,5,2020,622,351,France,FR,FRA,67320216,Europe,,,,,
7/5/2020,7,5,2020,629,178,France,FR,FRA,67320216,Europe,,,,,
20/06/2020,20,6,2020,641,16,France,FR,FRA,67320216,Europe,,,,,
8/5/2020,8,5,2020,642,243,France,FR,FRA,67320216,Europe,,,,,
10/7/2020,10,7,2020,658,25,France,FR,FRA,67320216,Europe,,,,,
2/7/2020,2,7,2020,659,14,France,FR,FRA,67320216,Europe,,,,,
8/7/2020,8,7,2020,663,32,France,FR,FRA,67320216,Europe,,,,,
14/06/2021,14,6,2021,689,63,France,FR,FRA,67320216,Europe,,,,,
12/5/2020,12,5,2020,708,348,France,FR,FRA,67320216,Europe,,,,,
28/07/2020,28,7,2020,725,14,France,FR,FRA,67320216,Europe,,,,,
12/6/2020,12,6,2020,726,28,France,FR,FRA,67320216,Europe,,,,,
4/7/2020,4,7,2020,751,12,France,FR,FRA,67320216,Europe,,,,,
11/7/2020,11,7,2020,752,6,France,FR,FRA,67320216,Europe,,,,,
19/07/2020,19,7,2020,765,1,France,FR,FRA,67320216,Europe,,,,,
4/6/2020,4,6,2020,767,44,France,FR,FRA,67320216,Europe,,,,,
10/8/2020,10,8,2020,785,14,France,FR,FRA,67320216,Europe,,,,,
19/04/2020,19,4,2020,785,395,France,FR,FRA,67320216,Europe,,,,,
13/03/2020,13,3,2020,785,0,France,FR,FRA,67320216,Europe,,,,,
2/5/2020,2,5,2020,794,166,France,FR,FRA,67320216,Europe,,,,,
5/7/2021,5,7,2021,796,36,France,FR,FRA,67320216,Europe,,,,,
19/06/2020,19,6,2020,811,14,France,FR,FRA,67320216,Europe,,,,,
17/07/2020,17,7,2020,836,14,France,FR,FRA,67320216,Europe,,,,,
14/03/2020,14,3,2020,838,0,France,FR,FRA,67320216,Europe,,,,,
1/7/2020,1,7,2020,918,18,France,FR,FRA,67320216,Europe,,,,,
15/03/2020,15,3,2020,924,0,France,FR,FRA,67320216,Europe,,,,,
26/07/2020,26,7,2020,929,1,France,FR,FRA,67320216,Europe,,,,,
18/07/2020,18,7,2020,965,8,France,FR,FRA,67320216,Europe,,,,,
22/07/2020,22,7,2020,998,7,France,FR,FRA,67320216,Europe,,,,,
4/8/2020,4,8,2020,1039,2,France,FR,FRA,67320216,Europe,,,,,
18/10/2021,18,10,2021,1057,46,France,FR,FRA,67320216,Europe,,,,,
23/07/2020,23,7,2020,1062,10,France,FR,FRA,67320216,Europe,,,,,
17/03/2020,17,3,2020,1097,0,France,FR,FRA,67320216,Europe,,,,,
5/5/2020,5,5,2020,1104,330,France,FR,FRA,67320216,Europe,,,,,
25/07/2020,25,7,2020,1108,8,France,FR,FRA,67320216,Europe,,,,,
11/10/2021,11,10,2021,1120,35,France,FR,FRA,67320216,Europe,,,,,
24/07/2020,24,7,2020,1130,10,France,FR,FRA,67320216,Europe,,,,,
4/10/2021,4,10,2021,1138,55,France,FR,FRA,67320216,Europe,,,,,
30/04/2020,30,4,2020,1139,288,France,FR,FRA,67320216,Europe,,,,,
29/04/2020,29,4,2020,1152,549,France,FR,FRA,67320216,Europe,,,,,
7/6/2021,7,6,2021,1164,64,France,FR,FRA,67320216,Europe,,,,,
2/8/2020,2,8,2020,1192,1,France,FR,FRA,67320216,Europe,,,,,
27/04/2020,27,4,2020,1195,437,France,FR,FRA,67320216,Europe,,,,,
16/03/2020,16,3,2020,1210,0,France,FR,FRA,67320216,Europe,,,,,
31/05/2021,31,5,2021,1211,126,France,FR,FRA,67320216,Europe,,,,,
12/7/2021,12,7,2021,1260,28,France,FR,FRA,67320216,Europe,,,,,
25/10/2021,25,10,2021,1295,43,France,FR,FRA,67320216,Europe,,,,,
27/09/2021,27,9,2021,1309,84,France,FR,FRA,67320216,Europe,,,,,
29/06/2020,29,6,2020,1324,18,France,FR,FRA,67320216,Europe,,,,,
31/07/2020,31,7,2020,1346,11,France,FR,FRA,67320216,Europe,,,,,
30/07/2020,30,7,2020,1377,16,France,FR,FRA,67320216,Europe,,,,,
29/07/2020,29,7,2020,1392,15,France,FR,FRA,67320216,Europe,,,,,
11/8/2020,11,8,2020,1397,14,France,FR,FRA,67320216,Europe,,,,,
18/03/2020,18,3,2020,1404,218,France,FR,FRA,67320216,Europe,,,,,
20/09/2021,20,9,2021,1515,30,France,FR,FRA,67320216,Europe,,,,,
28/04/2020,28,4,2020,1520,244,France,FR,FRA,67320216,Europe,,,,,
25/04/2020,25,4,2020,1537,369,France,FR,FRA,67320216,Europe,,,,,
27/06/2021,27,6,2021,1578,17,France,FR,FRA,67320216,Europe,,,,,
26/06/2020,26,6,2020,1588,26,France,FR,FRA,67320216,Europe,,,,,
6/8/2020,6,8,2020,1604,7,France,FR,FRA,67320216,Europe,,,,,
12/4/2020,12,4,2020,1613,561,France,FR,FRA,67320216,Europe,,,,,
20/03/2020,20,3,2020,1617,123,France,FR,FRA,67320216,Europe,,,,,
1/8/2020,1,8,2020,1628,6,France,FR,FRA,67320216,Europe,,,,,
23/04/2020,23,4,2020,1653,516,France,FR,FRA,67320216,Europe,,,,,
5/8/2020,5,8,2020,1695,9,France,FR,FRA,67320216,Europe,,,,,
24/04/2020,24,4,2020,1773,389,France,FR,FRA,67320216,Europe,,,,,
20/06/2021,20,6,2021,1815,14,France,FR,FRA,67320216,Europe,,,,,
22/04/2020,22,4,2020,1827,541,France,FR,FRA,67320216,Europe,,,,,
30/05/2020,30,5,2020,1828,57,France,FR,FRA,67320216,Europe,,,,,
21/03/2020,21,3,2020,1847,75,France,FR,FRA,67320216,Europe,,,,,
19/03/2020,19,3,2020,1861,109,France,FR,FRA,67320216,Europe,,,,,
1/11/2021,1,11,2021,1866,6,France,FR,FRA,67320216,Europe,,,,,
5/4/2020,5,4,2020,1873,518,France,FR,FRA,67320216,Europe,,,,,
9/8/2020,9,8,2020,1885,0,France,FR,FRA,67320216,Europe,,,,,
24/08/2020,24,8,2020,1955,15,France,FR,FRA,67320216,Europe,,,,,
25/06/2021,25,6,2021,1986,33,France,FR,FRA,67320216,Europe,,,,,
24/06/2021,24,6,2021,2007,44,France,FR,FRA,67320216,Europe,,,,,
2/11/2021,2,11,2021,2039,87,France,FR,FRA,67320216,Europe,,,,,
20/04/2020,20,4,2020,2051,547,France,FR,FRA,67320216,Europe,,,,,
13/09/2021,13,9,2021,2062,97,France,FR,FRA,67320216,Europe,,,,,
2/4/2020,2,4,2020,2116,471,France,FR,FRA,67320216,Europe,,,,,
26/06/2021,26,6,2021,2128,12,France,FR,FRA,67320216,Europe,,,,,
8/8/2020,8,8,2020,2184,2,France,FR,FRA,67320216,Europe,,,,,
8/11/2021,8,11,2021,2197,57,France,FR,FRA,67320216,Europe,,,,,
22/06/2021,22,6,2021,2204,51,France,FR,FRA,67320216,Europe,,,,,
22/03/2020,22,3,2020,2227,107,France,FR,FRA,67320216,Europe,,,,,
24/05/2021,24,5,2021,2229,62,France,FR,FRA,67320216,Europe,,,,,
18/08/2020,18,8,2020,2238,22,France,FR,FRA,67320216,Europe,,,,,
7/8/2020,7,8,2020,2288,12,France,FR,FRA,67320216,Europe,,,,,
29/06/2021,29,6,2021,2314,45,France,FR,FRA,67320216,Europe,,,,,
23/06/2021,23,6,2021,2320,33,France,FR,FRA,67320216,Europe,,,,,
18/06/2021,18,6,2021,2439,68,France,FR,FRA,67320216,Europe,,,,,
24/03/2020,24,3,2020,2446,240,France,FR,FRA,67320216,Europe,,,,,
30/06/2021,30,6,2021,2457,25,France,FR,FRA,67320216,Europe,,,,,
12/8/2020,12,8,2020,2524,17,France,FR,FRA,67320216,Europe,,,,,
4/7/2021,4,7,2021,2549,9,France,FR,FRA,67320216,Europe,,,,,
18/04/2020,18,4,2020,2569,642,France,FR,FRA,67320216,Europe,,,,,
29/03/2020,29,3,2020,2599,292,France,FR,FRA,67320216,Europe,,,,,
19/06/2021,19,6,2021,2624,22,France,FR,FRA,67320216,Europe,,,,,
15/04/2020,15,4,2020,2633,1438,France,FR,FRA,67320216,Europe,,,,,
16/04/2020,16,4,2020,2641,746,France,FR,FRA,67320216,Europe,,,,,
1/7/2021,1,7,2021,2664,29,France,FR,FRA,67320216,Europe,,,,,
21/04/2020,21,4,2020,2667,531,France,FR,FRA,67320216,Europe,,,,,
13/08/2020,13,8,2020,2669,17,France,FR,FRA,67320216,Europe,,,,,
13/04/2020,13,4,2020,2673,574,France,FR,FRA,67320216,Europe,,,,,
2/7/2021,2,7,2021,2683,24,France,FR,FRA,67320216,Europe,,,,,
17/06/2021,17,6,2021,2786,56,France,FR,FRA,67320216,Europe,,,,,
14/08/2020,14,8,2020,2846,18,France,FR,FRA,67320216,Europe,,,,,
13/06/2021,13,6,2021,2855,13,France,FR,FRA,67320216,Europe,,,,,
25/03/2020,25,3,2020,2931,288,France,FR,FRA,67320216,Europe,,,,,
28/12/2020,28,12,2020,2960,363,France,FR,FRA,67320216,Europe,,,,,
3/7/2021,3,7,2021,3006,17,France,FR,FRA,67320216,Europe,,,,,
16/08/2020,16,8,2020,3015,1,France,FR,FRA,67320216,Europe,,,,,
6/9/2021,6,9,2021,3042,126,France,FR,FRA,67320216,Europe,,,,,
16/06/2021,16,6,2021,3058,44,France,FR,FRA,67320216,Europe,,,,,
14/12/2020,14,12,2020,3063,371,France,FR,FRA,67320216,Europe,,,,,
31/08/2020,31,8,2020,3082,29,France,FR,FRA,67320216,Europe,,,,,
26/12/2020,26,12,2020,3093,146,France,FR,FRA,67320216,Europe,,,,,
11/4/2020,11,4,2020,3114,635,France,FR,FRA,67320216,Europe,,,,,
25/05/2021,25,5,2021,3155,221,France,FR,FRA,67320216,Europe,,,,,
23/03/2020,23,3,2020,3170,228,France,FR,FRA,67320216,Europe,,,,,
15/06/2021,15,6,2021,3235,80,France,FR,FRA,67320216,Europe,,,,,
15/11/2021,15,11,2021,3241,75,France,FR,FRA,67320216,Europe,,,,,
10/5/2021,10,5,2021,3292,292,France,FR,FRA,67320216,Europe,,,,,
25/08/2020,25,8,2020,3304,15,France,FR,FRA,67320216,Europe,,,,,
15/08/2020,15,8,2020,3310,3,France,FR,FRA,67320216,Europe,,,,,
28/05/2020,28,5,2020,3325,66,France,FR,FRA,67320216,Europe,,,,,
17/05/2021,17,5,2021,3350,196,France,FR,FRA,67320216,Europe,,,,,
7/12/2020,7,12,2020,3411,366,France,FR,FRA,67320216,Europe,,,,,
2/1/2021,2,1,2021,3466,156,France,FR,FRA,67320216,Europe,,,,,
11/1/2021,11,1,2021,3581,697,France,FR,FRA,67320216,Europe,,,,,
6/7/2021,6,7,2021,3585,34,France,FR,FRA,67320216,Europe,,,,,
22/08/2020,22,8,2020,3602,8,France,FR,FRA,67320216,Europe,,,,,
15/07/2021,15,7,2021,3617,16,France,FR,FRA,67320216,Europe,,,,,
18/01/2021,18,1,2021,3736,403,France,FR,FRA,67320216,Europe,,,,,
3/10/2021,3,10,2021,3744,9,France,FR,FRA,67320216,Europe,,,,,
3/5/2021,3,5,2021,3760,311,France,FR,FRA,67320216,Europe,,,,,
19/08/2020,19,8,2020,3776,17,France,FR,FRA,67320216,Europe,,,,,
7/4/2020,7,4,2020,3777,1417,France,FR,FRA,67320216,Europe,,,,,
17/10/2021,17,10,2021,3778,5,France,FR,FRA,67320216,Europe,,,,,
30/08/2021,30,8,2021,3795,113,France,FR,FRA,67320216,Europe,,,,,
27/03/2020,27,3,2020,3809,299,France,FR,FRA,67320216,Europe,,,,,
12/11/2021,12,11,2021,3860,48,France,FR,FRA,67320216,Europe,,,,,
11/6/2021,11,6,2021,3871,74,France,FR,FRA,67320216,Europe,,,,,
8/4/2020,8,4,2020,3881,541,France,FR,FRA,67320216,Europe,,,,,
6/4/2020,6,4,2020,3912,833,France,FR,FRA,67320216,Europe,,,,,
26/03/2020,26,3,2020,3922,308,France,FR,FRA,67320216,Europe,,,,,
12/6/2021,12,6,2021,3972,34,France,FR,FRA,67320216,Europe,,,,,
10/10/2021,10,10,2021,3991,8,France,FR,FRA,67320216,Europe,,,,,
30/11/2020,30,11,2020,4005,406,France,FR,FRA,67320216,Europe,,,,,
4/1/2021,4,1,2021,4022,378,France,FR,FRA,67320216,Europe,,,,,
28/09/2020,28,9,2020,4070,81,France,FR,FRA,67320216,Europe,,,,,
7/7/2021,7,7,2021,4081,28,France,FR,FRA,67320216,Europe,,,,,
19/07/2021,19,7,2021,4151,20,France,FR,FRA,67320216,Europe,,,,,
6/5/2020,6,5,2020,4183,278,France,FR,FRA,67320216,Europe,,,,,
7/9/2020,7,9,2020,4203,25,France,FR,FRA,67320216,Europe,,,,,
25/01/2021,25,1,2021,4240,445,France,FR,FRA,67320216,Europe,,,,,
11/7/2021,11,7,2021,4256,4,France,FR,FRA,67320216,Europe,,,,,
4/4/2020,4,4,2020,4267,1053,France,FR,FRA,67320216,Europe,,,,,
9/4/2020,9,4,2020,4286,1341,France,FR,FRA,67320216,Europe,,,,,
8/2/2021,8,2,2021,4317,458,France,FR,FRA,67320216,Europe,,,,,
10/4/2020,10,4,2020,4342,987,France,FR,FRA,67320216,Europe,,,,,
1/2/2021,1,2,2021,4347,455,France,FR,FRA,67320216,Europe,,,,,
15/02/2021,15,2,2021,4376,412,France,FR,FRA,67320216,Europe,,,,,
30/03/2020,30,3,2020,4376,418,France,FR,FRA,67320216,Europe,,,,,
8/7/2021,8,7,2021,4442,25,France,FR,FRA,67320216,Europe,,,,,
23/11/2020,23,11,2020,4452,500,France,FR,FRA,67320216,Europe,,,,,
8/10/2021,8,10,2021,4470,41,France,FR,FRA,67320216,Europe,,,,,
10/6/2021,10,6,2021,4475,68,France,FR,FRA,67320216,Europe,,,,,
9/7/2021,9,7,2021,4580,18,France,FR,FRA,67320216,Europe,,,,,
21/08/2020,21,8,2020,4586,23,France,FR,FRA,67320216,Europe,,,,,
28/03/2020,28,3,2020,4611,319,France,FR,FRA,67320216,Europe,,,,,
7/10/2021,7,10,2021,4615,36,France,FR,FRA,67320216,Europe,,,,,
22/02/2021,22,2,2021,4646,333,France,FR,FRA,67320216,Europe,,,,,
10/7/2021,10,7,2021,4696,19,France,FR,FRA,67320216,Europe,,,,,
1/3/2021,1,3,2021,4703,375,France,FR,FRA,67320216,Europe,,,,,
26/09/2021,26,9,2021,4706,14,France,FR,FRA,67320216,Europe,,,,,
9/10/2021,9,10,2021,4734,15,France,FR,FRA,67320216,Europe,,,,,
20/08/2020,20,8,2020,4771,12,France,FR,FRA,67320216,Europe,,,,,
1/4/2020,1,4,2020,4861,509,France,FR,FRA,67320216,Europe,,,,,
23/08/2020,23,8,2020,4897,1,France,FR,FRA,67320216,Europe,,,,,
16/10/2021,16,10,2021,4899,15,France,FR,FRA,67320216,Europe,,,,,
1/10/2021,1,10,2021,4935,49,France,FR,FRA,67320216,Europe,,,,,
6/10/2021,6,10,2021,4946,39,France,FR,FRA,67320216,Europe,,,,,
2/10/2021,2,10,2021,4948,30,France,FR,FRA,67320216,Europe,,,,,
1/9/2020,1,9,2020,4982,26,France,FR,FRA,67320216,Europe,,,,,
24/10/2021,24,10,2021,5005,4,France,FR,FRA,67320216,Europe,,,,,
6/6/2021,6,6,2021,5070,25,France,FR,FRA,67320216,Europe,,,,,
5/10/2020,5,10,2020,5084,69,France,FR,FRA,67320216,Europe,,,,,
23/08/2021,23,8,2021,5166,109,France,FR,FRA,67320216,Europe,,,,,
2/8/2021,2,8,2021,5184,53,France,FR,FRA,67320216,Europe,,,,,
14/10/2021,14,10,2021,5187,40,France,FR,FRA,67320216,Europe,,,,,
30/09/2021,30,9,2021,5204,61,France,FR,FRA,67320216,Europe,,,,,
3/4/2020,3,4,2020,5233,2004,France,FR,FRA,67320216,Europe,,,,,
22/11/2021,22,11,2021,5266,97,France,FR,FRA,67320216,Europe,,,,,
21/09/2020,21,9,2020,5298,53,France,FR,FRA,67320216,Europe,,,,,
26/07/2021,26,7,2021,5307,45,France,FR,FRA,67320216,Europe,,,,,
8/3/2021,8,3,2021,5327,359,France,FR,FRA,67320216,Europe,,,,,
30/08/2020,30,8,2020,5413,4,France,FR,FRA,67320216,Europe,,,,,
26/08/2020,26,8,2020,5429,18,France,FR,FRA,67320216,Europe,,,,,
29/08/2020,29,8,2020,5453,6,France,FR,FRA,67320216,Europe,,,,,
14/04/2020,14,4,2020,5497,762,France,FR,FRA,67320216,Europe,,,,,
9/6/2021,9,6,2021,5557,65,France,FR,FRA,67320216,Europe,,,,,
5/10/2021,5,10,2021,5558,61,France,FR,FRA,67320216,Europe,,,,,
13/10/2021,13,10,2021,5578,24,France,FR,FRA,67320216,Europe,,,,,
9/8/2021,9,8,2021,5775,75,France,FR,FRA,67320216,Europe,,,,,
21/12/2020,21,12,2020,5797,351,France,FR,FRA,67320216,Europe,,,,,
19/09/2021,19,9,2021,5814,28,France,FR,FRA,67320216,Europe,,,,,
16/08/2021,16,8,2021,5829,107,France,FR,FRA,67320216,Europe,,,,,
29/09/2021,29,9,2021,5835,43,France,FR,FRA,67320216,Europe,,,,,
24/09/2021,24,9,2021,5879,53,France,FR,FRA,67320216,Europe,,,,,
12/10/2021,12,10,2021,5880,53,France,FR,FRA,67320216,Europe,,,,,
19/10/2021,19,10,2021,5934,39,France,FR,FRA,67320216,Europe,,,,,
26/04/2021,26,4,2021,5952,398,France,FR,FRA,67320216,Europe,,,,,
25/09/2021,25,9,2021,6012,29,France,FR,FRA,67320216,Europe,,,,,
8/6/2021,8,6,2021,6018,75,France,FR,FRA,67320216,Europe,,,,,
20/10/2021,20,10,2021,6036,26,France,FR,FRA,67320216,Europe,,,,,
15/10/2021,15,10,2021,6099,36,France,FR,FRA,67320216,Europe,,,,,
27/08/2020,27,8,2020,6111,12,France,FR,FRA,67320216,Europe,,,,,
21/10/2021,21,10,2021,6127,37,France,FR,FRA,67320216,Europe,,,,,
14/09/2020,14,9,2020,6158,34,France,FR,FRA,67320216,Europe,,,,,
23/09/2021,23,9,2021,6229,66,France,FR,FRA,67320216,Europe,,,,,
23/10/2021,23,10,2021,6291,23,France,FR,FRA,67320216,Europe,,,,,
31/10/2021,31,10,2021,6329,12,France,FR,FRA,67320216,Europe,,,,,
22/10/2021,22,10,2021,6366,29,France,FR,FRA,67320216,Europe,,,,,
29/10/2021,29,10,2021,6433,28,France,FR,FRA,67320216,Europe,,,,,
28/10/2021,28,10,2021,6461,34,France,FR,FRA,67320216,Europe,,,,,
15/03/2021,15,3,2021,6471,333,France,FR,FRA,67320216,Europe,,,,,
27/10/2021,27,10,2021,6528,33,France,FR,FRA,67320216,Europe,,,,,
8/9/2020,8,9,2020,6544,38,France,FR,FRA,67320216,Europe,,,,,
